Rank,Model,Family,R2 Score,RMSE,MAE,Within 10% Rate (%)
1,Stacking,Ensemble,0.8877135075066039,0.144754597057874,0.0939069714052385,100.0
2,Random Forest,Ensemble,0.8814983582508862,0.14870678705501425,0.09834670356702524,100.0
3,AdaBoost,Ensemble,0.8809597866895773,0.1490443285996053,0.09787810009340098,100.0
4,Bagging,Ensemble,0.8791347270425393,0.15018251586877496,0.100018098295475,100.0
5,Manual Linear Regression,Manual,0.8697904287916826,0.15587987941661352,0.09959226588288372,100.0
6,Voting,Ensemble,0.8653157155267421,0.15853569778747298,0.09875414332705403,99.65753424657534
7,Decision Tree,Classical ML,0.7732590787849559,0.2056996535279703,0.14155973908318042,100.0
8,SVM,Classical ML,0.750349573476126,0.21584140681364508,0.1285955947658852,99.65753424657534
9,KNN,Classical ML,0.7481172027896903,0.21680428454250245,0.13891957838449612,99.31506849315068
10,Linear Regression,Classical ML,0.7102069028609477,0.2325480086850793,0.09888518899392039,99.65753424657534
